Found 1892 lines with potential untranslated hardcoded Spanish:
components\Auth\LoginComponent.jsx:42 -> Contraseña es requerida | Context: newErrors.password = uiText(i18n, "Contraseña es requerida", "Password is required");
components\Dashboard\SolicitantesTab.jsx:197 -> Sin historial de analisis | Context: <p style={{ color: COLORS.textMuted }}>Sin historial de analisis</p>
components\Dashboard\TraceabilityLogTab.jsx:7 -> Solicitante | Context: ["09:12", "Solicitante", "Cargo estados financieros 2025", "Documento", "Registrado"],
components\Dashboard\TraceabilityLogTab.jsx:8 -> Detecto faltante de flujo proyectado | Context: ["09:18", "IA NSD", "Detecto faltante de flujo proyectado", "Revision", "Atencion"],
components\Dashboard\TraceabilityLogTab.jsx:9 -> Marco expediente como B+ preliminar | Context: ["09:24", "NSD Analyst", "Marco expediente como B+ preliminar", "Scoring", "Registrado"],
components\Dashboard\TraceabilityLogTab.jsx:10 -> Otorgante | Context: ["09:31", "Otorgante", "Abrio data room compartido", "Acceso", "Registrado"],
components\Dashboard\TraceabilityLogTab.jsx:11 -> Otorgante | Context: ["09:36", "Otorgante", "Solicito soporte de fuente de repago", "Requerimiento", "Pendiente"],
components\Dashboard\TraceabilityLogTab.jsx:11 -> Solicito soporte de fuente de repago | Context: ["09:36", "Otorgante", "Solicito soporte de fuente de repago", "Requerimiento", "Pendiente"],
components\Dashboard\TraceabilityLogTab.jsx:12 -> Genero memo para comite | Context: ["09:42", "NSD Admin", "Genero memo para comite", "Comite", "Registrado"],
components\Dashboard\TraceabilityLogTab.jsx:12 -> Comite | Context: ["09:42", "NSD Admin", "Genero memo para comite", "Comite", "Registrado"],
components\Dashboard\TraceabilityLogTab.jsx:16 -> Eventos clave con usuario, hora, tipo y resultado. | Context: ["Auditoria", "Eventos clave con usuario, hora, tipo y resultado."],
components\Dashboard\TraceabilityLogTab.jsx:17 -> Cada accion relevante debe apuntar a documento, expediente o requerimiento. | Context: ["Evidencia", "Cada accion relevante debe apuntar a documento, expediente o requerimiento."],
components\Dashboard\TraceabilityLogTab.jsx:18 -> Las vistas dependen del rol: solicitante, otorgante, NSD Admin. | Context: ["Permisos", "Las vistas dependen del rol: solicitante, otorgante, NSD Admin."],
components\Dashboard\TraceabilityLogTab.jsx:19 -> Biometricos y datos sensibles requieren consentimiento y proveedor especializado. | Context: ["Privacidad", "Biometricos y datos sensibles requieren consentimiento y proveedor especializado."],
components\Dashboard\TraceabilityLogTab.jsx:44 -> La plataforma debe poder explicar que ocurrio, quien lo hizo, sobre que expediente y con que resultado. Esta vista muestra la capa de control que se formalizara con Supabase/auditoria. | Context: "La plataforma debe poder explicar que ocurrio, quien lo hizo, sobre que expediente y con que resultado. Esta vista muestra la capa de control que se formalizara con Supabase/auditoria.",
components\Dashboard\TractionPilotsTab.jsx:8 -> Expedientes piloto | Context: ["Expedientes piloto", "50+", "Casos para probar solicitante, IA, data room y otorgante."],
components\Dashboard\TractionPilotsTab.jsx:8 -> Casos para probar solicitante, IA, data room y otorgante. | Context: ["Expedientes piloto", "50+", "Casos para probar solicitante, IA, data room y otorgante."],
components\Dashboard\TractionPilotsTab.jsx:9 -> De expediente preparado a interes institucional registrado. | Context: ["Conversion meta", "20%", "De expediente preparado a interes institucional registrado."],
components\Dashboard\TractionPilotsTab.jsx:14 -> Pipeline de PyMEs, credito empresarial y revision documental. | Context: ["SOFOM crecimiento", "Alta prioridad", "Pipeline de PyMEs, credito empresarial y revision documental."],
components\Dashboard\TractionPilotsTab.jsx:15 -> Piloto tecnico | Context: ["Fintech credito", "Piloto tecnico", "KYB, antifraude, scoring y carga documental asistida."],
components\Dashboard\TractionPilotsTab.jsx:16 -> Data room, memo, ticket, riesgo y seguimiento de oportunidades. | Context: ["Fondo deuda privada", "Validacion comercial", "Data room, memo, ticket, riesgo y seguimiento de oportunidades."],
components\Dashboard\TractionPilotsTab.jsx:17 -> Captura de solicitantes, business plan y preparacion para fondeo. | Context: ["Despacho financiero", "Canal aliado", "Captura de solicitantes, business plan y preparacion para fondeo."],
components\Dashboard\TractionPilotsTab.jsx:18 -> Empresa solicitante | Context: ["Empresa solicitante", "Caso demo", "Expediente completo, IA, matriz documental y presentacion a otorgantes."],
components\Dashboard\TractionPilotsTab.jsx:18 -> Expediente completo, IA, matriz documental y presentacion a otorgantes. | Context: ["Empresa solicitante", "Caso demo", "Expediente completo, IA, matriz documental y presentacion a otorgantes."],
components\Dashboard\TractionPilotsTab.jsx:22 -> Los solicitantes no saben que documentos preparar y los otorgantes reciben informacion desigual. | Context: ["Dolor validable", "Los solicitantes no saben que documentos preparar y los otorgantes reciben informacion desigual."],
components\Dashboard\TractionPilotsTab.jsx:23 -> Ya existe flujo local de solicitante, otorgante, admin, data room, IA y demo guiado. | Context: ["Producto demostrable", "Ya existe flujo local de solicitante, otorgante, admin, data room, IA y demo guiado."],
components\Dashboard\TractionPilotsTab.jsx:24 -> SaaS B2B, fee por expediente, servicios profesionales y modulos premium. | Context: ["Monetizacion mixta", "SaaS B2B, fee por expediente, servicios profesionales y modulos premium."],
components\Dashboard\TractionPilotsTab.jsx:25 -> Mexico primero, USA despues, otros mercados solo con validacion legal. | Context: ["Expansion gradual", "Mexico primero, USA despues, otros mercados solo con validacion legal."],
components\Dashboard\TractionPilotsTab.jsx:29 -> Medir interes de entidades y solicitantes con CTA hacia demo guiada. | Context: ["Landing + demo", "Medir interes de entidades y solicitantes con CTA hacia demo guiada."],
components\Dashboard\TractionPilotsTab.jsx:30 -> Piloto 30 dias | Context: ["Piloto 30 dias", "Procesar 10 expedientes con un aliado y medir faltantes, tiempos y acciones."],
components\Dashboard\TractionPilotsTab.jsx:30 -> Procesar 10 expedientes con un aliado y medir faltantes, tiempos y acciones. | Context: ["Piloto 30 dias", "Procesar 10 expedientes con un aliado y medir faltantes, tiempos y acciones."],
components\Dashboard\TractionPilotsTab.jsx:31 -> Comparar fee por expediente vs. SaaS mensual + servicios NSD IF. | Context: ["Pricing test", "Comparar fee por expediente vs. SaaS mensual + servicios NSD IF."],
components\Dashboard\TractionPilotsTab.jsx:32 -> Otorgante workflow | Context: ["Otorgante workflow", "Validar si data room, memo y requerimientos reducen tiempo de primera revision."],
components\Dashboard\TractionPilotsTab.jsx:32 -> Validar si data room, memo y requerimientos reducen tiempo de primera revision. | Context: ["Otorgante workflow", "Validar si data room, memo y requerimientos reducen tiempo de primera revision."],
components\Dashboard\Otorgante\AnalyticsTab.jsx:83 -> Listo para comite | Context: [L("Listos para comitÃ©", "Ready for Committee"), opportunities.filter((item) => item.readinessLevel === "Listo para comite").length, L("Priorizar lectura ejecutiva y memo.", "Prioritize executive review and memo.")],
components\Dashboard\Otorgante\AnalyticsTab.jsx:98 -> Preparacion por validar | Context: : copy(item.readinessLevel || "Preparacion por validar");
components\Dashboard\Otorgante\AnalyticsTab.jsx:262 -> Listo para comite | Context: {row.label === "Listo para comite" ? L("Puede pasar a lectura ejecutiva.", "May advance to executive review.") : row.label === "Subsanable" ? L("Requiere requerimientos y evidencia adicional.", "Requires requests and additional evidence.") : L("Necesita preparaciÃ³n documental antes de revisar.", "Needs document readiness before review.")}
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:8 -> Resumen del expediente | Context: title: "Resumen del expediente",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:9 -> Listo para pre-comite | Context: status: "Listo para pre-comite",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:11 -> Solicitante con expediente corporativo, financiero y documental en revision. | Context: "Solicitante con expediente corporativo, financiero y documental en revision.",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:12 -> Score preliminar B+ con faltantes no bloqueantes y alertas mitigables. | Context: "Score preliminar B+ con faltantes no bloqueantes y alertas mitigables.",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:13 -> Uso de recursos declarado y trazabilidad documental suficiente para revision inicial. | Context: "Uso de recursos declarado y trazabilidad documental suficiente para revision inicial.",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:20 -> Actualizar estados financieros y soporte de ingresos recurrentes. | Context: "Actualizar estados financieros y soporte de ingresos recurrentes.",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:22 -> Solicitar evidencia adicional sobre contratos clave y fuente de repago. | Context: "Solicitar evidencia adicional sobre contratos clave y fuente de repago.",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:27 -> Para term sheet | Context: status: "Para term sheet",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:29 -> Liberacion condicionada a cierre de faltantes documentales. | Context: "Liberacion condicionada a cierre de faltantes documentales.",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:30 -> Seguimiento mensual de covenant financiero y documentacion fiscal. | Context: "Seguimiento mensual de covenant financiero y documentacion fiscal.",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:31 -> Data room abierto al comite hasta cierre de decision. | Context: "Data room abierto al comite hasta cierre de decision.",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:37 -> Completo con observaciones menores | Context: ["KYC/KYB", "Completo con observaciones menores", "Verde"],
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:40 -> Riesgo antifraude | Context: ["Riesgo antifraude", "Sin red flags criticas en demo", "Verde"],
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:40 -> Sin red flags criticas en demo | Context: ["Riesgo antifraude", "Sin red flags criticas en demo", "Verde"],
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:66 -> Esta vista convierte el expediente en una lectura ejecutiva para otorgantes: que se reviso, que falta, que riesgos existen y que condiciones podrian llevarse a comite. | Context: "Esta vista convierte el expediente en una lectura ejecutiva para otorgantes: que se reviso, que falta, que riesgos existen y que condiciones podrian llevarse a comite.",
components\Dashboard\Otorgante\CommitteeMemoTab.jsx:130 -> El expediente puede avanzar a conversacion con el solicitante si se cierran los faltantes amarillos y se confirma la fuente de repago. NSD IF no aprueba credito; organiza evidencia para la decision del otorgante. | Context: "El expediente puede avanzar a conversacion con el solicitante si se cierran los faltantes amarillos y se confirma la fuente de repago. NSD IF no aprueba credito; organiza evidencia para la decision del otorgante.",
components\Dashboard\Otorgante\PipelineTab.jsx:34 -> Permisos, versionado, evidencia vinculada y bitacora de consulta. | Context: ["Seguridad documental", "Permisos, versionado, evidencia vinculada y bitacora de consulta."],
components\Dashboard\Otorgante\PipelineTab.jsx:36 -> Eventos por expediente, requerimiento, evidencia e interes institucional. | Context: ["Auditoria", "Eventos por expediente, requerimiento, evidencia e interes institucional."],
components\Dashboard\Otorgante\PipelineTab.jsx:51 -> Listo para comite | Context: const readinessOptions = ["Todos", "Listo para comite", "Subsanable", "Preparacion inicial"];
components\Dashboard\Otorgante\PipelineTab.jsx:112 -> ${selected?.documentsCount || selected?.documents?.length || 0} ${copy("documento(s) disponibles para revision.")} | Context: detail: `${selected?.documentsCount || selected?.documents?.length || 0} ${copy("documento(s) disponibles para revision.")}`,
components\Dashboard\Otorgante\PipelineTab.jsx:155 -> ${score}/100 - ${copy("Riesgo")} ${copy(selected.risk)} | Context: [copy("Score integral"), `${score}/100 - ${copy("Riesgo")} ${copy(selected.risk)}`],
components\Dashboard\Otorgante\PipelineTab.jsx:157 -> ${openRequests} ${copy("pendiente(s) de respuesta o evidencia.")} | Context: [copy("Requerimientos abiertos"), `${openRequests} ${copy("pendiente(s) de respuesta o evidencia.")}`],
components\Dashboard\Otorgante\PipelineTab.jsx:211 -> 1. Tesis y uso de fondos | Context: title: "1. Tesis y uso de fondos",
components\Dashboard\Otorgante\PipelineTab.jsx:218 -> ${copy("Score")} ${score}/100, ${copy("riesgo")} ${copy(selected.risk)}. ${selected.risk === "Alto" ? copy("Requiere aclaraciones antes de comite.") : copy("Puede pasar a lectura ejecutiva.")} | Context: detail: `${copy("Score")} ${score}/100, ${copy("riesgo")} ${copy(selected.risk)}. ${selected.risk === "Alto" ? copy("Requiere aclaraciones antes de comite.") : copy("Puede pasar a lectura ejecutiva.")}`
components\Dashboard\Otorgante\PipelineTab.jsx:223 -> ${selected.documents?.length || 0} ${copy("documentos visibles en data room institucional.")} | Context: detail: `${selected.documents?.length || 0} ${copy("documentos visibles en data room institucional.")}`
components\Dashboard\Otorgante\PipelineTab.jsx:228 -> ${openRequests} ${copy("pendiente(s) de respuesta o evidencia.")} | Context: detail: openRequests ? `${openRequests} ${copy("pendiente(s) de respuesta o evidencia.")}` : copy("Sin requerimientos abiertos.")
components\Dashboard\Otorgante\PipelineTab.jsx:252 -> Condicion de riesgo | Context: label: "Condicion de riesgo",
components\Dashboard\Otorgante\PipelineTab.jsx:257 -> Condicion de score | Context: label: "Condicion de score",
components\Dashboard\Otorgante\PipelineTab.jsx:259 -> ${copy("Score base")} ${score}/100 ${copy("para calibrar precio, garantias y covenants.")} | Context: detail: `${copy("Score base")} ${score}/100 ${copy("para calibrar precio, garantias y covenants.")}`
components\Dashboard\Otorgante\PipelineTab.jsx:262 -> Condicion de pendientes | Context: label: "Condicion de pendientes",
components\Dashboard\Otorgante\PipelineTab.jsx:264 -> ${openRequests} ${copy("requerimiento(s) deben resolverse antes de oferta.")} | Context: detail: openRequests ? `${openRequests} ${copy("requerimiento(s) deben resolverse antes de oferta.")}` : copy("Sin requerimientos abiertos visibles.")
components\Dashboard\Otorgante\PipelineTab.jsx:297 -> No pasar a comite hasta fortalecer expediente. | Context: : "No pasar a comite hasta fortalecer expediente.";
components\Dashboard\Otorgante\PipelineTab.jsx:302 -> - Expediente: ${selected.id} | Context: `- Expediente: ${selected.id}`,
components\Dashboard\Otorgante\PipelineTab.jsx:304 -> - Solicitante: ${selected.applicant} | Context: `- Solicitante: ${selected.applicant}`,
components\Dashboard\Otorgante\PipelineTab.jsx:306 -> Por definir | Context: `- Estructura: ${selected.structure || "Por definir"}`,
components\Dashboard\Otorgante\PipelineTab.jsx:306 -> - Estructura: ${selected.structure || "Por definir"} | Context: `- Estructura: ${selected.structure || "Por definir"}`,
components\Dashboard\Otorgante\PipelineTab.jsx:307 -> Por definir | Context: `- Nivel de preparacion: ${selected.readinessLevel || "Por definir"}`,
components\Dashboard\Otorgante\PipelineTab.jsx:307 -> - Nivel de preparacion: ${selected.readinessLevel || "Por definir"} | Context: `- Nivel de preparacion: ${selected.readinessLevel || "Por definir"}`,
components\Dashboard\Otorgante\PipelineTab.jsx:310 -> - Estado otorgante: ${interestStatus} | Context: `- Estado otorgante: ${interestStatus}`,
components\Dashboard\Otorgante\PipelineTab.jsx:314 -> Uso de fondos pendiente de confirmar. | Context: selected.use || "Uso de fondos pendiente de confirmar.",
components\Dashboard\Otorgante\PipelineTab.jsx:320 -> - Riesgo visible: ${selected.risk} | Context: `- Riesgo visible: ${selected.risk}`,
components\Dashboard\Otorgante\PipelineTab.jsx:335 -> - Solicitud de contacto: No registrada | Context: selected.contactRequest ? `- Solicitud de contacto: ${selected.contactRequest.status}` : "- Solicitud de contacto: No registrada",
components\Dashboard\Otorgante\PipelineTab.jsx:335 -> - Solicitud de contacto: ${selected.contactRequest.status} | Context: selected.contactRequest ? `- Solicitud de contacto: ${selected.contactRequest.status}` : "- Solicitud de contacto: No registrada",
components\Dashboard\Otorgante\PipelineTab.jsx:341 -> NSD no autoriza credito ni sustituye el criterio del otorgante. Este memo organiza evidencia, riesgos y contexto para una decision institucional. | Context: "NSD no autoriza credito ni sustituye el criterio del otorgante. Este memo organiza evidencia, riesgos y contexto para una decision institucional."
components\Dashboard\Otorgante\PipelineTab.jsx:411 -> No se pudo cargar el pipeline de otorgante. | Context: setError("No se pudo cargar el pipeline de otorgante.");
components\Dashboard\Otorgante\PipelineTab.jsx:497 -> Interés demo registrado para ${selected.id} | Context: addNotification(`Interés demo registrado para ${selected.id}`, "success");
components\Dashboard\Otorgante\PipelineTab.jsx:510 -> Interés institucional guardado para ${selected.id} | Context: addNotification(`Interés institucional guardado para ${selected.id}`, "success");
components\Dashboard\Otorgante\PipelineTab.jsx:512 -> No se pudo guardar el interés institucional | Context: addNotification(err.response?.data?.error || "No se pudo guardar el interés institucional", "error");
components\Dashboard\Otorgante\PipelineTab.jsx:528 -> Abriendo enlace seguro: ${selectedDoc} | Context: addNotification(`Abriendo enlace seguro: ${selectedDoc}`, "success");
components\Dashboard\Otorgante\PipelineTab.jsx:538 -> Consultando scoring documental y validacion regulatoria del expediente. | Context: findings: ["Consultando scoring documental y validacion regulatoria del expediente."]
components\Dashboard\Otorgante\PipelineTab.jsx:549 -> Viable con condiciones | Context: status: data.decisionRecommendation === "approve" ? "Aprobable" : data.decisionRecommendation === "conditional" ? "Viable con condiciones" : "Requiere revision",
components\Dashboard\Otorgante\PipelineTab.jsx:563 -> Analisis derivado del expediente disponible en NSD. | Context: "Analisis derivado del expediente disponible en NSD.",
components\Dashboard\Otorgante\PipelineTab.jsx:564 -> Riesgo elevado: requiere aclaraciones antes de comite. | Context: selected.risk === "Alto" ? "Riesgo elevado: requiere aclaraciones antes de comite." : "Expediente apto para revision ejecutiva inicial.",
components\Dashboard\Otorgante\PipelineTab.jsx:564 -> Expediente apto para revision ejecutiva inicial. | Context: selected.risk === "Alto" ? "Riesgo elevado: requiere aclaraciones antes de comite." : "Expediente apto para revision ejecutiva inicial.",
components\Dashboard\Otorgante\PipelineTab.jsx:565 -> Siguiente paso sugerido: validar soporte documental y generar memo de credito. | Context: "Siguiente paso sugerido: validar soporte documental y generar memo de credito."
components\Dashboard\Otorgante\PipelineTab.jsx:570 -> Agentes IA revisaron ${scope} para ${selected.id} | Context: addNotification(`Agentes IA revisaron ${scope} para ${selected.id}`, "success");
components\Dashboard\Otorgante\PipelineTab.jsx:575 -> Agrega el titulo del requerimiento | Context: addNotification("Agrega el titulo del requerimiento", "error");
components\Dashboard\Otorgante\PipelineTab.jsx:591 -> Requerimiento demo creado para el solicitante | Context: addNotification("Requerimiento demo creado para el solicitante", "success");
components\Dashboard\Otorgante\PipelineTab.jsx:603 -> Requerimiento enviado al solicitante | Context: addNotification("Requerimiento enviado al solicitante", "success");
components\Dashboard\Otorgante\PipelineTab.jsx:605 -> No se pudo crear el requerimiento | Context: addNotification(err.response?.data?.error || "No se pudo crear el requerimiento", "error");
components\Dashboard\Otorgante\PipelineTab.jsx:615 -> Vista de evidencia simulada en demo | Context: addNotification("Vista de evidencia simulada en demo", "success");
components\Dashboard\Otorgante\PipelineTab.jsx:624 -> No se pudo abrir la evidencia | Context: addNotification(err.response?.data?.error || "No se pudo abrir la evidencia", "error");
components\Dashboard\Otorgante\PipelineTab.jsx:636 -> memo-comite-${selected.id}.md | Context: anchor.download = `memo-comite-${selected.id}.md`;
components\Dashboard\Otorgante\PipelineTab.jsx:641 -> Memo de comite generado | Context: addNotification("Memo de comite generado", "success");
components\Dashboard\Otorgante\PipelineTab.jsx:647 -> El contacto ya fue autorizado para este expediente. | Context: addNotification("El contacto ya fue autorizado para este expediente.", "success");
components\Dashboard\Otorgante\PipelineTab.jsx:656 -> [${new Date().toLocaleString("es-MX")}] Solicitud de contacto autorizado registrada para seguimiento NSD. | Context: const note = `[${new Date().toLocaleString("es-MX")}] Solicitud de contacto autorizado registrada para seguimiento NSD.`;
components\Dashboard\Otorgante\PipelineTab.jsx:662 -> Solicitud de contacto posterior a revision institucional Fase 7. | Context: reason: "Solicitud de contacto posterior a revision institucional Fase 7.",
components\Dashboard\Otorgante\PipelineTab.jsx:667 -> Solicitud de contacto autorizado registrada y auditada | Context: addNotification("Solicitud de contacto autorizado registrada y auditada", "success");
components\Dashboard\Otorgante\PipelineTab.jsx:670 -> No se pudo persistir el contacto; queda en notas locales. | Context: addNotification(err.response?.data?.error || "No se pudo persistir el contacto; queda en notas locales.", "error");
components\Dashboard\Otorgante\PipelineTab.jsx:677 -> Solicitud de contacto autorizado registrada localmente | Context: addNotification("Solicitud de contacto autorizado registrada localmente", "success");
components\Dashboard\Otorgante\PipelineTab.jsx:875 -> En revision | Context: {["Todos", "Nuevo", "Data room abierto", "En revision", "Reporte listo", "Observado"].map((status) => (
components\Dashboard\Otorgante\PipelineTab.jsx:950 -> Sin expediente seleccionado | Context: <h3 style={{ color: COLORS.navy, fontSize: "1.25rem" }}>{selected?.name || "Sin expediente seleccionado"}</h3>
components\Dashboard\Otorgante\PipelineTab.jsx:1076 -> Uso de fondos | Context: ["Uso de fondos", selected.use],
components\Dashboard\Otorgante\PipelineTab.jsx:1079 -> Nivel de preparacion | Context: ["Nivel de preparacion", selected.readinessLevel],
components\Dashboard\Otorgante\PipelineTab.jsx:1312 -> Documento del expediente | Context: Evidencia vinculada: {request.evidence?.filename || "Documento del expediente"}
components\Dashboard\Solicitante\FundingReadinessTab.jsx:88 -> NSD IF organiza documentos, revisa faltantes, prioriza riesgos y prepara una lectura institucional para que el solicitante llegue mejor armado a una entidad financiera. | Context: "NSD IF organiza documentos, revisa faltantes, prioriza riesgos y prepara una lectura institucional para que el solicitante llegue mejor armado a una entidad financiera.",
components\Dashboard\Solicitante\FundingReadinessTab.jsx:146 -> Prioriza financieros, poderes y fuente de repago antes de liberar el expediente a otorgantes. | Context: "Prioriza financieros, poderes y fuente de repago antes de liberar el expediente a otorgantes.",
components\Dashboard\Solicitante\MatchesTab.jsx:32 -> Banco del Norte | Context: name: "Banco del Norte",
components\Dashboard\Solicitante\MatchesTab.jsx:67 -> La compatibilidad se calcula con score NSD, ticket, sector, documentos, riesgo visible y apetito institucional. No garantiza fondeo; ayuda a priorizar a que otorgantes conviene presentar el expediente. | Context: "La compatibilidad se calcula con score NSD, ticket, sector, documentos, riesgo visible y apetito institucional. No garantiza fondeo; ayuda a priorizar a que otorgantes conviene presentar el expediente.",
components\Dashboard\Solicitante\MatchesTab.jsx:151 -> ${L("Preparando detalle para", "Preparing detail for")} ${m.name} | Context: onClick={() => addNotification(`${L("Preparando detalle para", "Preparing detail for")} ${m.name}`, "success")}
components\Dashboard\Solicitante\MiPerfilTab.jsx:19 -> Comprobante de Domicilio | Context: { name: "Comprobante de Domicilio", status: "Pendiente", icon: "DOM" },
components\Dashboard\Solicitante\MiPerfilTab.jsx:23 -> Completar vigencia de domicilio y beneficiario controlador. | Context: ["Identidad y KYB", "92%", "Completar vigencia de domicilio y beneficiario controlador."],
components\Dashboard\Solicitante\MiPerfilTab.jsx:24 -> Agregar escenario conservador y conciliacion de deuda. | Context: ["Financiero", "84%", "Agregar escenario conservador y conciliacion de deuda."],
components\Dashboard\Solicitante\MiPerfilTab.jsx:25 -> Validar constancia fiscal y opinion de cumplimiento. | Context: ["Fiscal", "88%", "Validar constancia fiscal y opinion de cumplimiento."],
components\Dashboard\Solicitante\MiPerfilTab.jsx:26 -> Ordenar documentos por carpeta y version. | Context: ["Data room", "76%", "Ordenar documentos por carpeta y version."],
components\Dashboard\Solicitante\MiPerfilTab.jsx:30 -> Subir comprobante de domicilio vigente. | Context: "Subir comprobante de domicilio vigente.",
components\Dashboard\Solicitante\MiPerfilTab.jsx:31 -> Agregar uso de fondos detallado por partida. | Context: "Agregar uso de fondos detallado por partida.",
components\Dashboard\Solicitante\MiPerfilTab.jsx:33 -> Ejecutar revision IA final antes de compartir con otorgantes. | Context: "Ejecutar revision IA final antes de compartir con otorgantes.",
components\Dashboard\Solicitante\MiPerfilTab.jsx:38 -> Compartible con condiciones | Context: label: "Compartible con condiciones",
components\Dashboard\Solicitante\MiPerfilTab.jsx:39 -> El expediente puede avanzar a prevalidacion NSD, pero conviene cerrar documentos bloqueantes antes de abrirlo a otorgantes. | Context: detail: "El expediente puede avanzar a prevalidacion NSD, pero conviene cerrar documentos bloqueantes antes de abrirlo a otorgantes."
components\Dashboard\Solicitante\MiPerfilTab.jsx:43 -> Tesis, uso de fondos y monto objetivo. | Context: ["Resumen ejecutivo", "Listo", "Tesis, uso de fondos y monto objetivo."],
components\Dashboard\Solicitante\MiPerfilTab.jsx:44 -> Falta domicilio vigente y version final de soporte fiscal. | Context: ["Data room", "Subsanable", "Falta domicilio vigente y version final de soporte fiscal."],
components\Dashboard\Solicitante\MiPerfilTab.jsx:45 -> Hallazgos disponibles para subsanacion. | Context: ["Revision IA", aiReview ? "Ejecutada" : "Pendiente", aiReview ? "Hallazgos disponibles para subsanacion." : "Ejecutar antes de compartir."],
components\Dashboard\Solicitante\MiPerfilTab.jsx:45 -> Ejecutar antes de compartir. | Context: ["Revision IA", aiReview ? "Ejecutada" : "Pendiente", aiReview ? "Hallazgos disponibles para subsanacion." : "Ejecutar antes de compartir."],
components\Dashboard\Solicitante\MiPerfilTab.jsx:46 -> Autorizar finalidad, otorgantes y vigencia de acceso. | Context: ["Consentimiento", "Pendiente", "Autorizar finalidad, otorgantes y vigencia de acceso."],
components\Dashboard\Solicitante\MiPerfilTab.jsx:56 -> Expediente completo | Context: score: scope === "Expediente completo" ? 88 : scope === "Comprobante de Domicilio" ? 62 : 84,
components\Dashboard\Solicitante\MiPerfilTab.jsx:56 -> Comprobante de Domicilio | Context: score: scope === "Expediente completo" ? 88 : scope === "Comprobante de Domicilio" ? 62 : 84,
components\Dashboard\Solicitante\MiPerfilTab.jsx:58 -> Requisitos base detectados para bancos, SOFOMES, fondos y fintechs. | Context: "Requisitos base detectados para bancos, SOFOMES, fondos y fintechs.",
components\Dashboard\Solicitante\MiPerfilTab.jsx:59 -> Validacion preliminar de vigencia, consistencia fiscal, beneficiario/control y antifraude documental. | Context: "Validacion preliminar de vigencia, consistencia fiscal, beneficiario/control y antifraude documental.",
components\Dashboard\Solicitante\MiPerfilTab.jsx:60 -> Comprobante de Domicilio | Context: scope === "Comprobante de Domicilio" ? "Documento pendiente: completar antes de enviar a otorgantes." : "Documento utilizable para revision inicial; falta cotejo con fuente oficial.",
components\Dashboard\Solicitante\MiPerfilTab.jsx:60 -> Documento pendiente: completar antes de enviar a otorgantes. | Context: scope === "Comprobante de Domicilio" ? "Documento pendiente: completar antes de enviar a otorgantes." : "Documento utilizable para revision inicial; falta cotejo con fuente oficial.",
components\Dashboard\Solicitante\MiPerfilTab.jsx:60 -> Documento utilizable para revision inicial; falta cotejo con fuente oficial. | Context: scope === "Comprobante de Domicilio" ? "Documento pendiente: completar antes de enviar a otorgantes." : "Documento utilizable para revision inicial; falta cotejo con fuente oficial.",
components\Dashboard\Solicitante\MiPerfilTab.jsx:63 -> ${L("Revisión IA completada para", "AI review completed for")} ${copy(scope)} | Context: addNotification(`${L("Revisión IA completada para", "AI review completed for")} ${copy(scope)}`, "success");
components\Dashboard\Solicitante\MiPerfilTab.jsx:117 -> Expediente completo | Context: <button onClick={() => runAiReview("Expediente completo")} style={{ background: COLORS.navy, color: COLORS.white, border: "none", borderRadius: "6px", padding: "0.8rem 1rem", fontWeight: 800, cursor: "pointer" }}>
components\Dashboard\Solicitante\SubirProyectoTab.jsx:28 -> Capital de crecimiento, equipo comercial y tecnología | Context: use: "Capital de crecimiento, equipo comercial y tecnología",
components\Dashboard\Solicitante\SubirProyectoTab.jsx:29 -> Tecnología / SaaS | Context: sector: "Tecnología / SaaS",
components\Dashboard\Solicitante\SubirProyectoTab.jsx:30 -> Listo para revisión | Context: stage: "Listo para revisión",
components\Dashboard\Solicitante\SubirProyectoTab.jsx:68 -> Tecnología | Context: if (project.sector.includes("Tecnología") || project.sector.includes("Tecnologia") || project.sector.includes("Startup")) {
components\Dashboard\Solicitante\SubirProyectoTab.jsx:126 -> ${mandatory || documents.length} requisito(s) deben cerrarse antes de compartir. | Context: [L("Documentos criticos", "Critical documents"), L(`${mandatory || documents.length} requisito(s) deben cerrarse antes de compartir.`, `${mandatory || documents.length} requirement(s) must be closed before sharing.`)],
components\Dashboard\Solicitante\SubirProyectoTab.jsx:138 -> Selecciona un expediente primero | Context: addNotification("Selecciona un expediente primero", "error");
